,WS,OG (t-1),EG (t-1),PG (t-1),SG (t-1),GDPpc (t-1),Inf. (t-1),Deficit (t-1),Gov. debt (t-1),Log pop. (t-1),Dep. (t-1)
WS,1.00,,,,,,,,,,
OG (t-1),0.32***,1.00,,,,,,,,,
EG (t-1),0.23***,0.85***,1.00,,,,,,,,
PG (t-1),0.43***,0.77***,0.39***,1.00,,,,,,,
SG (t-1),-0.01,0.81***,0.73***,0.38***,1.00,,,,,,
GDPpc (t-1),0.09***,0.41***,0.28***,0.23***,0.54***,1.00,,,,,
Inf. (t-1),-0.07**,-0.25***,-0.15***,-0.22***,-0.25***,-0.16***,1.00,,,,
Deficit (t-1),-0.21***,0.21***,0.27***,-0.05*,0.35***,0.23***,0.00,1.00,,,
Gov. debt (t-1),0.35***,0.21***,0.02,0.39***,0.02,0.02,-0.02,-0.39***,1.00,,
Log pop. (t-1),0.15***,0.08***,-0.28***,0.58***,-0.22***,-0.04,-0.07**,-0.30***,0.39***,1.00,
Dep. (t-1),0.14***,0.18***,0.14***,0.11***,0.21***,0.09***,-0.01,0.05*,0.37***,0.10***,1.00
